test_set,model_a,model_b,mean_ece_a,mean_ece_b,paired_t_stat,paired_t_pvalue,wilcoxon_stat,wilcoxon_pvalue
Shift 0 (in-distribution),LogisticRegression,NaiveBayes,0.048753982972911426,0.29522789555090306,-179.2027396617309,2.6718717884214743e-306,0.0,6.083559849691439e-51
Shift 0 (in-distribution),LogisticRegression,RandomForest,0.048753982972911426,0.08781423922292592,-35.208929698330735,2.2128898528620505e-108,95.0,1.5739824055188454e-50
Shift 0 (in-distribution),LogisticRegression,SVM_RBF,0.048753982972911426,0.06455457693588319,-13.411193005454805,1.975427866419718e-32,6087.0,5.655486025522928e-28
Shift 0 (in-distribution),LogisticRegression,XGBoost,0.048753982972911426,0.112185110148824,-53.35570791946392,7.703130373398891e-155,0.0,6.083559849691439e-51
Shift 0 (in-distribution),NaiveBayes,RandomForest,0.29522789555090306,0.08781423922292592,168.75438149400244,1.4172255799831566e-298,0.0,6.083559849691439e-51
Shift 0 (in-distribution),NaiveBayes,SVM_RBF,0.29522789555090306,0.06455457693588319,157.776164768331,6.159897909665427e-290,0.0,6.083559849691439e-51
Shift 0 (in-distribution),NaiveBayes,XGBoost,0.29522789555090306,0.112185110148824,147.82977602907158,1.3752970723265056e-281,0.0,6.083559849691439e-51
Shift 0 (in-distribution),RandomForest,SVM_RBF,0.08781423922292592,0.06455457693588319,19.131647295162562,7.785679430831957e-54,2637.0,4.009579894645765e-40
Shift 0 (in-distribution),RandomForest,XGBoost,0.08781423922292592,0.112185110148824,-25.955217138094735,1.4277076965427822e-78,773.0,1.2396054959647833e-47
Shift 0 (in-distribution),SVM_RBF,XGBoost,0.06455457693588319,0.112185110148824,-40.38804808041812,4.1258125048687055e-123,16.0,7.141837075757061e-51
Shift 1 (mild),LogisticRegression,NaiveBayes,0.15931355244328452,0.4066059145260004,-153.26368543804983,3.248888951228023e-286,0.0,6.083559849691439e-51
Shift 1 (mild),LogisticRegression,RandomForest,0.15931355244328452,0.10535491733252926,36.397641379135955,7.019465326276652e-112,135.0,2.34591255802924e-50
Shift 1 (mild),LogisticRegression,SVM_RBF,0.15931355244328452,0.09169898751358004,39.209486985286425,7.117963216140384e-120,77.0,1.314951334330651e-50
Shift 1 (mild),LogisticRegression,XGBoost,0.15931355244328452,0.2035982706393391,-31.88462922149565,3.3240572240562466e-98,231.0,6.095540592955512e-50
Shift 1 (mild),NaiveBayes,RandomForest,0.4066059145260004,0.10535491733252926,351.42597197348823,0.0,0.0,6.083559849691439e-51
Shift 1 (mild),NaiveBayes,SVM_RBF,0.4066059145260004,0.09169898751358004,354.78509361571594,0.0,0.0,6.083559849691439e-51
Shift 1 (mild),NaiveBayes,XGBoost,0.4066059145260004,0.2035982706393391,204.61941182809227,0.0,0.0,6.083559849691439e-51
Shift 1 (mild),RandomForest,SVM_RBF,0.10535491733252926,0.09169898751358004,17.995915864056098,1.4343021855891186e-49,2922.0,4.92970276240347e-39
Shift 1 (mild),RandomForest,XGBoost,0.10535491733252926,0.2035982706393391,-115.42652229547443,5.1406219662027925e-250,0.0,6.083559849691439e-51
Shift 1 (mild),SVM_RBF,XGBoost,0.09169898751358004,0.2035982706393391,-98.55025802073908,5.137464274307783e-230,0.0,6.083559849691439e-51
Shift 2 (moderate),LogisticRegression,NaiveBayes,0.08855618555290552,0.426187317524989,-215.84464795374097,0.0,0.0,6.083559849691439e-51
Shift 2 (moderate),LogisticRegression,RandomForest,0.08855618555290552,0.29162822107822106,-127.75591292323286,6.221894087741785e-263,0.0,6.083559849691439e-51
Shift 2 (moderate),LogisticRegression,SVM_RBF,0.08855618555290552,0.3947220801789849,-200.253260951194,0.0,0.0,6.083559849691439e-51
Shift 2 (moderate),LogisticRegression,XGBoost,0.08855618555290552,0.33267113726777886,-142.687858658595,4.692873711275575e-277,0.0,6.083559849691439e-51
Shift 2 (moderate),NaiveBayes,RandomForest,0.426187317524989,0.29162822107822106,122.09997286489866,3.661294928715507e-257,0.0,6.083559849691439e-51
Shift 2 (moderate),NaiveBayes,SVM_RBF,0.426187317524989,0.3947220801789849,25.15658336048055,8.758744867628161e-76,999.0,1.0944143948734971e-46
Shift 2 (moderate),NaiveBayes,XGBoost,0.426187317524989,0.33267113726777886,77.84543983790039,1.5178718909448038e-200,0.0,6.083559849691439e-51
Shift 2 (moderate),RandomForest,SVM_RBF,0.29162822107822106,0.3947220801789849,-194.57662718912067,0.0,0.0,6.083559849691439e-51
Shift 2 (moderate),RandomForest,XGBoost,0.29162822107822106,0.33267113726777886,-79.37166339180958,5.969974613336982e-203,0.0,6.083559849691439e-51
Shift 2 (moderate),SVM_RBF,XGBoost,0.3947220801789849,0.33267113726777886,72.93759747562595,1.6428068853125698e-192,0.0,6.083559849691439e-51
Shift 3 (strong),LogisticRegression,NaiveBayes,0.03746649905212484,0.4245753092039475,-237.7708065521694,0.0,0.0,6.083559849691439e-51
Shift 3 (strong),LogisticRegression,RandomForest,0.03746649905212484,0.32311529081428,-223.29441748148568,0.0,0.0,6.083559849691439e-51
Shift 3 (strong),LogisticRegression,SVM_RBF,0.03746649905212484,0.4700388048528123,-333.47304336429244,0.0,0.0,6.083559849691439e-51
Shift 3 (strong),LogisticRegression,XGBoost,0.03746649905212484,0.3916932759149769,-241.34857493310892,0.0,0.0,6.083559849691439e-51
Shift 3 (strong),NaiveBayes,RandomForest,0.4245753092039475,0.32311529081428,69.72649500534993,5.475949896187822e-187,0.0,6.083559849691439e-51
Shift 3 (strong),NaiveBayes,SVM_RBF,0.4245753092039475,0.4700388048528123,-27.60425450257123,3.1898078286158274e-84,780.0,1.3265626185251568e-47
Shift 3 (strong),NaiveBayes,XGBoost,0.4245753092039475,0.3916932759149769,20.814074149773695,4.218305318223398e-60,1930.0,6.805188293606846e-43
Shift 3 (strong),RandomForest,SVM_RBF,0.32311529081428,0.4700388048528123,-233.6707189392499,0.0,0.0,6.083559849691439e-51
Shift 3 (strong),RandomForest,XGBoost,0.32311529081428,0.3916932759149769,-108.23946104254644,7.319795601258706e-242,0.0,6.083559849691439e-51
Shift 3 (strong),SVM_RBF,XGBoost,0.4700388048528123,0.3916932759149769,84.22312190477173,2.517000488736385e-210,0.0,6.083559849691439e-51
Shift 4 (severe),LogisticRegression,NaiveBayes,0.03108981318350255,0.6377227131870045,-619.3221794715874,0.0,0.0,6.083559849691439e-51
Shift 4 (severe),LogisticRegression,RandomForest,0.03108981318350255,0.41852574562392014,-593.0553201039343,0.0,0.0,6.083559849691439e-51
Shift 4 (severe),LogisticRegression,SVM_RBF,0.03108981318350255,0.47745244921242735,-736.4386282712585,0.0,0.0,6.083559849691439e-51
Shift 4 (severe),LogisticRegression,XGBoost,0.03108981318350255,0.5079617289787988,-660.5774483538529,0.0,0.0,6.083559849691439e-51
Shift 4 (severe),NaiveBayes,RandomForest,0.6377227131870045,0.41852574562392014,311.9772704245346,0.0,0.0,6.083559849691439e-51
Shift 4 (severe),NaiveBayes,SVM_RBF,0.6377227131870045,0.47745244921242735,181.04148148888055,1.2980141085593343e-307,0.0,6.083559849691439e-51
Shift 4 (severe),NaiveBayes,XGBoost,0.6377227131870045,0.5079617289787988,179.50814119549804,1.6133669331931937e-306,0.0,6.083559849691439e-51
Shift 4 (severe),RandomForest,SVM_RBF,0.41852574562392014,0.47745244921242735,-164.2324507982993,4.374654256921876e-295,0.0,6.083559849691439e-51
Shift 4 (severe),RandomForest,XGBoost,0.41852574562392014,0.5079617289787988,-282.1381937400714,0.0,0.0,6.083559849691439e-51
Shift 4 (severe),SVM_RBF,XGBoost,0.47745244921242735,0.5079617289787988,-58.782688474578364,2.5153140026933774e-166,0.0,6.083559849691439e-51
