test_set,model_a,model_b,mean_ece_a,mean_ece_b,paired_t_stat,paired_t_pvalue,wilcoxon_stat,wilcoxon_pvalue
Shift 0 (in-distribution),LogisticRegression,NaiveBayes,0.04875398297291142,0.29522789555090306,-179.202739661731,2.6718717884211012e-306,0.0,6.083559849691437e-51
Shift 0 (in-distribution),LogisticRegression,RandomForest,0.04875398297291142,0.09102151996419665,-37.12336057331125,5.567311396953894e-114,55.0,1.0553146633384094e-50
Shift 0 (in-distribution),LogisticRegression,SVM_RBF,0.04875398297291142,0.06455457693588355,-13.411193005455047,1.9754278664156654e-32,6087.0,5.655486025522932e-28
Shift 0 (in-distribution),LogisticRegression,XGBoost,0.04875398297291142,0.11218510886918573,-53.355707970959116,7.70312836105611e-155,0.0,6.083559849691437e-51
Shift 0 (in-distribution),NaiveBayes,RandomForest,0.29522789555090306,0.09102151996419665,163.70263177350134,1.1374554130439437e-294,0.0,6.083559849691437e-51
Shift 0 (in-distribution),NaiveBayes,SVM_RBF,0.29522789555090306,0.06455457693588355,157.77616476833077,6.159897909667978e-290,0.0,6.083559849691437e-51
Shift 0 (in-distribution),NaiveBayes,XGBoost,0.29522789555090306,0.11218510886918573,147.82977615707216,1.3752967210607849e-281,0.0,6.083559849691437e-51
Shift 0 (in-distribution),RandomForest,SVM_RBF,0.09102151996419665,0.06455457693588355,21.243981401652977,1.0909592495828433e-61,1849.0,3.231158723045129e-43
Shift 0 (in-distribution),RandomForest,XGBoost,0.09102151996419665,0.11218510886918573,-22.52415223909898,2.2494832916742638e-66,1500.0,1.2625618200113408e-44
Shift 0 (in-distribution),SVM_RBF,XGBoost,0.06455457693588355,0.11218510886918573,-40.388046845625134,4.1258443976502195e-123,16.0,7.141837075757062e-51
Shift 1 (mild),LogisticRegression,NaiveBayes,0.15931355244328432,0.40660591452600037,-153.26368543804995,3.248888951227289e-286,0.0,6.083559849691437e-51
Shift 1 (mild),LogisticRegression,RandomForest,0.15931355244328432,0.10995524398210965,34.2137883436194,2.1383436147652445e-105,208.0,4.850845540262598e-50
Shift 1 (mild),LogisticRegression,SVM_RBF,0.15931355244328432,0.09169898751358048,39.209486985286055,7.117963216157396e-120,77.0,1.3149513343306513e-50
Shift 1 (mild),LogisticRegression,XGBoost,0.15931355244328432,0.20359826786559007,-31.884628165656977,3.324082681217985e-98,231.0,6.095540592955511e-50
Shift 1 (mild),NaiveBayes,RandomForest,0.40660591452600037,0.10995524398210965,296.954073443559,0.0,0.0,6.083559849691437e-51
Shift 1 (mild),NaiveBayes,SVM_RBF,0.40660591452600037,0.09169898751358048,354.7850936157157,0.0,0.0,6.083559849691437e-51
Shift 1 (mild),NaiveBayes,XGBoost,0.40660591452600037,0.20359826786559007,204.61941720964685,0.0,0.0,6.083559849691437e-51
Shift 1 (mild),RandomForest,SVM_RBF,0.10995524398210965,0.09169898751358048,21.417069224056405,2.515206953884587e-62,1234.0,1.028950367236643e-45
Shift 1 (mild),RandomForest,XGBoost,0.10995524398210965,0.20359826786559007,-92.00542878921758,2.239105505654722e-221,0.0,6.083559849691437e-51
Shift 1 (mild),SVM_RBF,XGBoost,0.09169898751358048,0.20359826786559007,-98.55025564439018,5.137500211967601e-230,0.0,6.083559849691437e-51
Shift 2 (moderate),LogisticRegression,NaiveBayes,0.08855618555290541,0.426187317524989,-215.84464795374106,0.0,0.0,6.083559849691437e-51
Shift 2 (moderate),LogisticRegression,RandomForest,0.08855618555290541,0.29264547404547403,-128.54449198578956,1.0211683131711781e-263,0.0,6.083559849691437e-51
Shift 2 (moderate),LogisticRegression,SVM_RBF,0.08855618555290541,0.39472208017898547,-200.25326095119442,0.0,0.0,6.083559849691437e-51
Shift 2 (moderate),LogisticRegression,XGBoost,0.08855618555290541,0.3326711367687002,-142.68785768778758,4.69288312033384e-277,0.0,6.083559849691437e-51
Shift 2 (moderate),NaiveBayes,RandomForest,0.426187317524989,0.29264547404547403,121.29569069473531,2.540367640699836e-256,0.0,6.083559849691437e-51
Shift 2 (moderate),NaiveBayes,SVM_RBF,0.426187317524989,0.39472208017898547,25.156583360480095,8.758744867660729e-76,999.0,1.0944143948734973e-46
Shift 2 (moderate),NaiveBayes,XGBoost,0.426187317524989,0.3326711367687002,77.84543935331394,1.5178745837159838e-200,0.0,6.083559849691437e-51
Shift 2 (moderate),RandomForest,SVM_RBF,0.29264547404547403,0.39472208017898547,-196.4011341869791,0.0,0.0,6.083559849691437e-51
Shift 2 (moderate),RandomForest,XGBoost,0.29264547404547403,0.3326711367687002,-77.39418261631825,7.954112294842874e-200,0.0,6.083559849691437e-51
Shift 2 (moderate),SVM_RBF,XGBoost,0.39472208017898547,0.3326711367687002,72.93759599749654,1.6428163118706286e-192,0.0,6.083559849691437e-51
Shift 3 (strong),LogisticRegression,NaiveBayes,0.03746649905212481,0.4245753092039475,-237.7708065521694,0.0,0.0,6.083559849691437e-51
Shift 3 (strong),LogisticRegression,RandomForest,0.03746649905212481,0.3239775451263538,-223.35451206232744,0.0,0.0,6.083559849691437e-51
Shift 3 (strong),LogisticRegression,SVM_RBF,0.03746649905212481,0.47003880485281296,-333.4730433642929,0.0,0.0,6.083559849691437e-51
Shift 3 (strong),LogisticRegression,XGBoost,0.03746649905212481,0.39169327781881985,-241.34857107065707,0.0,0.0,6.083559849691437e-51
Shift 3 (strong),NaiveBayes,RandomForest,0.4245753092039475,0.3239775451263538,69.06848393013954,7.90638732017442e-186,0.0,6.083559849691437e-51
Shift 3 (strong),NaiveBayes,SVM_RBF,0.4245753092039475,0.47003880485281296,-27.604254502571624,3.189807828606077e-84,780.0,1.3265626185251565e-47
Shift 3 (strong),NaiveBayes,XGBoost,0.4245753092039475,0.39169327781881985,20.814072503478286,4.218364477432555e-60,1930.0,6.805188293606846e-43
Shift 3 (strong),RandomForest,SVM_RBF,0.3239775451263538,0.47003880485281296,-241.6412079587145,0.0,0.0,6.083559849691437e-51
Shift 3 (strong),RandomForest,XGBoost,0.3239775451263538,0.39169327781881985,-106.68903864195342,4.90739022147279e-240,0.0,6.083559849691437e-51
Shift 3 (strong),SVM_RBF,XGBoost,0.47003880485281296,0.39169327781881985,84.22312046876543,2.5170128030634725e-210,0.0,6.083559849691437e-51
Shift 4 (severe),LogisticRegression,NaiveBayes,0.031089813183502533,0.6377227131870045,-619.3221794715874,0.0,0.0,6.083559849691437e-51
Shift 4 (severe),LogisticRegression,RandomForest,0.031089813183502533,0.41797647058823534,-597.2319244207525,0.0,0.0,6.083559849691437e-51
