test_set,model,n,PSI,KL,accuracy,brier_score,ece
Shift 0 (in-distribution),LogisticRegression,599,0.015436097473692512,0.007667424501017393,0.7045075125208681,0.19457612266600863,0.024120697462579506
Shift 0 (in-distribution),NaiveBayes,599,0.015436097473692512,0.007667424501017393,0.674457429048414,0.2979085955972348,0.28954985596526583
Shift 0 (in-distribution),RandomForest,599,0.015436097473692512,0.007667424501017393,0.656093489148581,0.21417031808937823,0.07907922154207629
Shift 0 (in-distribution),SVM_RBF,599,0.015436097473692512,0.007667424501017393,0.6911519198664441,0.20140435214421568,0.05503633731110526
Shift 0 (in-distribution),XGBoost,599,0.015436097473692512,0.007667424501017393,0.676126878130217,0.22065500915050507,0.10405852261290129
Shift 1 (mild),LogisticRegression,737,6.751905933246719,1.2680667432856483,0.6404341926729986,0.22795458293983625,0.15643070716460047
Shift 1 (mild),NaiveBayes,737,6.751905933246719,1.2680667432856483,0.5603799185888738,0.40255311025094803,0.40456127209498816
Shift 1 (mild),RandomForest,737,6.751905933246719,1.2680667432856483,0.6336499321573948,0.23089894760205704,0.10341700587969245
Shift 1 (mild),SVM_RBF,737,6.751905933246719,1.2680667432856483,0.6065128900949797,0.22770012543105317,0.0894569007412901
Shift 1 (mild),XGBoost,737,6.751905933246719,1.2680667432856483,0.6092265943012212,0.27676233649253845,0.2002665951666062
Shift 2 (moderate),LogisticRegression,518,7.49706083584405,1.3645767240936744,0.8938223938223938,0.10027903174271457,0.08827762447513142
Shift 2 (moderate),NaiveBayes,518,7.49706083584405,1.3645767240936744,0.5579150579150579,0.4158410886162921,0.4215790680584744
Shift 2 (moderate),RandomForest,518,7.49706083584405,1.3645767240936744,0.696911196911197,0.20048012119262118,0.29253861003861004
Shift 2 (moderate),SVM_RBF,518,7.49706083584405,1.3645767240936744,0.25868725868725867,0.24985445230083275,0.3949996935472922
Shift 2 (moderate),XGBoost,518,7.49706083584405,1.3645767240936744,0.6061776061776062,0.26849353313446045,0.3321073705610966
Shift 3 (strong),LogisticRegression,277,8.340810830334034,1.506189440177371,0.9602888086642599,0.039016765780351674,0.037992083812385426
Shift 3 (strong),NaiveBayes,277,8.340810830334034,1.506189440177371,0.5703971119133574,0.41805536055439346,0.4268662419471506
Shift 3 (strong),RandomForest,277,8.340810830334034,1.506189440177371,0.8050541516245487,0.15957015523465706,0.3230794223826715
Shift 3 (strong),SVM_RBF,277,8.340810830334034,1.506189440177371,0.039711191335740074,0.25857307628713533,0.4695093845723258
Shift 3 (strong),XGBoost,277,8.340810830334034,1.506189440177371,0.6678700361010831,0.2466704398393631,0.39078112403838644
Shift 4 (severe),LogisticRegression,986,8.422074338970491,1.5505956531372405,0.9685598377281948,0.031332354057163475,0.030756041845488632
Shift 4 (severe),NaiveBayes,986,8.422074338970491,1.5505956531372405,0.3620689655172414,0.6312058455214088,0.637798002605349
Shift 4 (severe),RandomForest,986,8.422074338970491,1.5505956531372405,0.6561866125760649,0.23030217771016454,0.41846348884381335
Shift 4 (severe),SVM_RBF,986,8.422074338970491,1.5505956531372405,0.03144016227180527,0.2587289941009369,0.4777837541438887
Shift 4 (severe),XGBoost,986,8.422074338970491,1.5505956531372405,0.49898580121703856,0.34886854887008667,0.5083489640942694
