test_set,model,n,PSI,KL,accuracy,brier_score,ece
Shift 0 (in-distribution),LogisticRegression,599,0.015436097473692512,0.007667424501017393,0.7045075125208681,0.1945761226660086,0.024120697462579468
Shift 0 (in-distribution),NaiveBayes,599,0.015436097473692512,0.007667424501017393,0.674457429048414,0.2979085955972348,0.28954985596526583
Shift 0 (in-distribution),RandomForest,599,0.015436097473692512,0.007667424501017393,0.654424040066778,0.21503120084812075,0.07798128052927718
Shift 0 (in-distribution),SVM_RBF,599,0.015436097473692512,0.007667424501017393,0.6911519198664441,0.20140435214421573,0.05503633731110466
Shift 0 (in-distribution),XGBoost,599,0.015436097473692512,0.007667424501017393,0.676126878130217,0.22065497934818268,0.10405851925454275
Shift 1 (mild),LogisticRegression,737,6.751905933246719,1.2680667432856483,0.6404341926729986,0.22795458293983628,0.15643070716460067
Shift 1 (mild),NaiveBayes,737,6.751905933246719,1.2680667432856483,0.5603799185888738,0.40255311025094814,0.40456127209498816
Shift 1 (mild),RandomForest,737,6.751905933246719,1.2680667432856483,0.6295793758480326,0.23149089527111916,0.10052238805970153
Shift 1 (mild),SVM_RBF,737,6.751905933246719,1.2680667432856483,0.6065128900949797,0.22770012543105306,0.08945690074128966
Shift 1 (mild),XGBoost,737,6.751905933246719,1.2680667432856483,0.6092265943012212,0.27676233649253845,0.2002665951666062
Shift 2 (moderate),LogisticRegression,518,7.49706083584405,1.3645767240936744,0.8938223938223938,0.10027903174271462,0.08827762447513153
Shift 2 (moderate),NaiveBayes,518,7.49706083584405,1.3645767240936744,0.5579150579150579,0.4158410886162921,0.4215790680584744
Shift 2 (moderate),RandomForest,518,7.49706083584405,1.3645767240936744,0.696911196911197,0.20054088195338196,0.2913674388674388
Shift 2 (moderate),SVM_RBF,518,7.49706083584405,1.3645767240936744,0.25868725868725867,0.2498544523008323,0.3949996935472916
Shift 2 (moderate),XGBoost,518,7.49706083584405,1.3645767240936744,0.6061776061776062,0.26849353313446045,0.3321073683460592
Shift 3 (strong),LogisticRegression,277,8.340810830334034,1.506189440177371,0.9602888086642599,0.03901676578035168,0.03799208381238545
Shift 3 (strong),NaiveBayes,277,8.340810830334034,1.506189440177371,0.5703971119133574,0.41805536055439346,0.4268662419471506
Shift 3 (strong),RandomForest,277,8.340810830334034,1.506189440177371,0.8014440433212996,0.15954022609974597,0.32147894103489777
Shift 3 (strong),SVM_RBF,277,8.340810830334034,1.506189440177371,0.039711191335740074,0.2585730762871347,0.4695093845723253
Shift 3 (strong),XGBoost,277,8.340810830334034,1.506189440177371,0.6678700361010831,0.2466704398393631,0.3907811176905994
Shift 4 (severe),LogisticRegression,986,8.422074338970491,1.5505956531372405,0.9685598377281948,0.031332354057163475,0.03075604184548865
Shift 4 (severe),NaiveBayes,986,8.422074338970491,1.5505956531372405,0.3620689655172414,0.6312058455214088,0.637798002605349
Shift 4 (severe),RandomForest,986,8.422074338970491,1.5505956531372405,0.6531440162271805,0.23258796139784138,0.4189255127338292
Shift 4 (severe),SVM_RBF,986,8.422074338970491,1.5505956531372405,0.03144016227180527,0.25872899410093625,0.477783754143888
Shift 4 (severe),XGBoost,986,8.422074338970491,1.5505956531372405,0.49898580121703856,0.34886854887008667,0.5083489637466764
